Company/Brand,HeadQuarter,Sector,What_it_does,Investor,Amount,Stage
DillyHub,Seoul,Publication,A service that promotes and facilitates the works of independent comic artists,Kakao Ventures,"$1,400,000.00",Seed
FPL Technologies,Pune,FinTech,FPL is on a mission to re-imagine credit and payments from first principles and is building a mobile-first credit card,Matrix Partners India,"$10,000,000.00",Series A
FITTR,Pune,Fitness startup,Fitness Social Network & Consultation Platform that helps you achieve your Health & Fitness goals.,Surge,"$2,000,000.00",Pre-series A
Illumnus,Pune,EdTech Startup,"An innovative EdTech startup from IITB & BITS alumni, offering B2B SaaS-based collaborative LMS for Schools and Universities",23 High Networth Individuals (HNIs).,"$100,000.00",Seed
CashKaro,Gurgaon,E-commerce,Cashkaro is a coupons and cashback site rewarding customers for visiting online retailers through their site.,Ratan Tata,"$10,000,000.00",Series B
Newton School,Bangalore,EdTech Startup,Newton School is a platform to learn and develop skills,Nexus Venture Partners,"$650,000.00",Seed
Airmeet,Bangalore,Tech Startup,"Airmeet is an all-in-one events platform for virtual summits, meetups, and workshops that includes virtual social lounge",Global Founders Capital,"$12,000,000.00",Series A
Observe ai,San Francisco,Tech,"Observe.AI develops a voice AI platform for contact centers, turning agents into top performers.",01 Advisors,"$54,000,000.00",Series B
InCred,Mumbai,Finance,"Provide loans for all your needs like personal loan for wedding, education loan, business loan",Pushpak Credit,"$5,000,000.00",Debt
Toppr,Mumbai,EdTech,Toppr is an Indian educational technology and online tutoring firm,Kaizenvest,"$35,000,000.00",Series D
CarTrade,Mumbai,Car Trade,Buy and Sell Used Cars,Pincus,"$42,500,000.00",Series H
LEAD School,Mumbai,EdtTech,Offers a high-end digital classroom system focused on enhancing the learning experience,Westbridge Capital,"$28,000,000.00",Series C
Servify,Mumbai,Manufacturing,"Enables top OEMs & ODMs in device distribution, sales, warranty",Blume Ventures,"$11,370,000.00",Series C
Lido Learning,Mumbai,EdTech,"Online classes for Std 4-9 in Math, Science, Coding, English & Leadership with top 1% tutors ?",BAce Capital,"$7,500,000.00",Series B
Apna.co,Bangalore,Job portal,Can find all types of jobs from entry level to experienced people in over 60+ categories.,Lightspeed India,"$8,000,000.00",Series A
Quintype Technologies,Bangalore,Tech,"Building a suite of digital publishing solutions to simplify content creation, distribution",IIFL Asset Management,"$325,000.00",Series A
Dunzo,Bangalore,Tech,Order online and get free delivery from your nearby restaurants,Wes Schwalje,"$28,000,000.00",Series E
Entropik,Bangalore,AI Platform,Gain insights into human emotions with AI-powered platform affect lab.,IDFC-Parampara Fund,"$8,000,000.00",Series A
Livspace,Bangalore,Home Design,Interior design marketplace that connects interior designers,Mercer Investments,"$9,000,000.00",Series D
Ultraviolette Automotive,Bangalore,Automation,Industries Automotive Electric Vehicle Energy Energy Storage,TVS Motor Company,"$410,000.00",Series B
WinZO,New Delhi,Gaming,WinZO is a mobile e-Sports gaming platform in India. It is available in 10 regional languages of India.,Makers Fund,"$18,000,000.00",Series B
SenseHawk,Bangalore,Solar SaaS,SenseHawk is a SaaS platform that helps improve processes and saves cost in the development,Falcon Edge Capital,"$5,000,000.00",Series A
Railofy,Mumbai,WL & RAC protection,Enables waitlisted passengers to reach their destination at the lowest possible price if their ticket is not,Chiratae Ventures.,"$900,000.00",Seed
Eloelo,Bangalore,Social commerce,"Social Commerce Venture for Wellness. View company info, jobs, team members, culture, funding and more.",,"$450,000.00",Seed
Aibono,Bangalore,AgriTech,A next dimension food & farming platform that unites two ends of the food chain from growing to consuming,Menterra Venture Advisors,"$2,000,000.00",Pre-series A
BuildPan,Indore,SaaS startup,"Buildpan helps you with continuous build, development and user feedback for iOS and Android development.",Sunil Kumar Singhvi,"$500,000.00",Seed
Homelane,Bangalore,Home interior services,Explore 1000's of fully customizable home interior designs.,Accel Partners,"$8,000,000.00",Bridge
MyGlamm,Mumbai,Fashion,Buy Makeup kit & Cosmetics Products from international makeup brand,Bessemer Venture Partners,"$1,000,000.00",Series B
Aviom,New Delhi,Finance,A social impact focused housing finance company catering to housing needs of customers in semi urban areas,Insitor Partners,"$682,000.00",Debt
Flinto,Chennai,EdTech Startup,Flintobox is an India-based company that produces educational activity boxes for children,Sinai Ventures,"$7,000,000.00",Pre-Series B
WayCool,Chennai,Agritech startup,WayCool is a social enterprise positively impacting the lives of India's farmers,FMO,"$5,060,000.00",Series C
YAP,Chennai,API platform,Create your own stream of Neo-banking and Deposit products using our bank-grade APIs,Jitendra Gupta,"$4,050,000.00",Series A
Big Bang Boom Solutions,Chennai,Deep Tech,It aims to co-create intellectual property that can reside within the borders of the country.,Mumbai Angels,"$1,050,000.00",Series A
GUVI,Chennai,EdTech Startup,Operates vernacular-language based education tech startup,CBA Capital,"$800,000.00",Series A
BluSmart,Gurugram,Electricity,"BluSmart, an all-electric ride-hailing platform",Kalpavriksh,"$7,000,000.00",Pre-series A
Cell Propulsion,Bangalore,Automotive company,Designs and develops electric power drives and autonomous electric mobility solutions,growX ventures,$nan,Pre-series A
MPL,Bangalore,Entertainment,Mobile Premier League (also known as MPL) is the mobile e-Sports platform,Sequoia Capital India,"$50,000,000.00",Series B
Spoonshot,Bangalore,FMCG,A food science company using AI to predict consumer taste and food trends,SRI Capital,"$1,000,000.00",Seed A
Pulse,Mumbai,FinTech,Helps people navigate through and profit off financial markets,,"$750,000.00",Pre-series A
Groww,Bangalore,FinTech,Leading Investment and Trading Platform,Y Combinator,"$30,000,000.00",Series C
i3 Systems,Mumbai,Insurance Tech,Transforming India's health insurance industry with its digital solutions and AI products for automation,Hatanaka Yosuke,"$1,050,000.00",Pre-series A
SOAL,Mumbai,EdTech,"A skill-tank nurturing students into disruptive, tech-empowered creators and future leaders",Krishnan Menon,"$1,000,000.00",Series A-1
OckyPocky,Gurugram,EdTech,Ockypocky helps kids in learning spoken english,SucSEED Venture Partners,"$400,000.00",Seed
Hippo Video,New York,Video personalization,Helps enterprise businesses achieve their marketing and sales goals through seamless video,Surge,"$4,000,000.00",Series A
Hasura,San Francisco,Software Company,"Builds developer tooling products, including open source tools, backend",Nexus Venture Partners,"$25,000,000.00",Series B
Qapita,Singapore,FinTech,Qapita provides digital equity management tools for private companies and startups.,Alto Partners,"$1,080,000.00",Seed
Sunday,Bangkok,FinTech,An end-to-end insurance products and services provider that uses AI to offer personalized packages.,SCB 10X,"$9,000,000.00",Pre-Series B
Gamezop,Gurugram,Gaming,A multi-game platform,Powerhouse ventures,"$4,300,000.00",Series A
Phool.co,Kanpur,Biomaterial startup,They use flowers from temples across India's and create useful products such as rose incense cone,Kaplan Foundation,"$1,400,000.00",Pre-series A
Chiratae Ventures,Bangalore,Venture capital,A leading tech venture capital fund focused on enabling entrepreneurs in India.,,$nan,Seed Funding
MedLife,Bangalore,Health,"An India online platform, which provides pharmacy, diagnostics, and e-consultation in India.",Ivy Icon,"$6,800,000.00",
IDfy,Mumbai,IT,IDfy provides risk and fraud solutions,Millenna FVCI III,"$2,110,000.00",Series A
True Balance,Gurugram,Finance,Earn money by meeting financial needs of your friends and neighbors.,Balancehero,$nan,Series C
Bira91,New Delhi,Craft Beer,A craft beer brand manufactured by B9 Beverages Pvt. Ltd.,Anicut Capital,"$764,000.00",
Max wholesale,New Delhi,E-commerce,MaxWholesale is an online distributor that provides authentic FMCG goods,Al Falaj Commercial Investment Co,"$603,000.00",
Craftsvilla,Mumbai,E-commerce,"Sells ethnic apparel, footwear, fashion accessories, beauty products, handcrafted home accessories",Supera Investments,"$409,000.00",
MechMocha,Bangalore,Entertainment,India's first vernacular social gaming platform,Accel India,"$292,000.00",Series A
Mindhouse,Gurugram,Healthtech,A gym to train your mind offering workouts and programmes,GGV Capital,"$286,000.00",
DeepSync,Chandigarh,AI startup,"A revolutionary way to record your content, without you really speaking",Grand Anicut Angel Fund (GAAF),"$136,000.00",
Eruditus,Mumbai,Education,Bring world-class business and professional education to a global audience,Bertelsmann India Investments,$nan,
Gradeup,Noida,Education,"India's largest exam preparation destination,",Times Internet,"$546,000.00",
Tracxn,Bangalore,Investment,Tracxn is the research partner for Venture Capitalist,Saif partners,"$887,000.00",Series B
Purple Style Labs,Mumbai,Fashion,Shopping experience and foster the growth of Indian brands and designers.,Jitendra Gupta,"$43,000.00",
ProPhysio,Bangalore,Health,The largest provider of physiotherapy and rehabilitation services,Nestavera Ventures.,"$40,900.00",
Flickstree,Mumbai,Tech,World's largest video publisher,MOX,"$40,900.00",
Settl,Gurugram,TravelTech,Get affordable AC bus-rides everyday,Sojitz,$nan,
Fanspole,Thane,Entertainment,India's only social fantasy gaming platform,Mohan Verma,$nan,Pre-Seed
Sarva,Mumbai,Healthcare,A wellness ecosystem built on the authentic foundations of Yoga,Shikhar Dhawan,$nan,
Univ.ai,Bangalore,EdTech,"A distributed, global educational powerhouse that draws on technology",Kiran Mazumdar Shaw.,$nan,
PurohitJi,Bangalore,Linguistic Spiritual,App for Hindu Puja Products & Services,Bhadresh,$nan,
CredoLab,Singapore,Tech,AI credit scoring platform,GB Group,"$7,000,000.00",Series A
Brick&Bolt,Bangalore,Construction,"A construction company doing house construction, building construction, commercial construction",Meghna Agarwal,"$2,200,000.00",Series A
Grinntech,Chennai,Battery manufacturer,Leading on all fronts of battery design,V Sumantran,"$2,000,000.00",
6Degree,Mumbai,Fashion,India's leading fashion business platform,Keiretsu Forum,"$340,000.00",
Exprs,,Nano Distribution Network,"Nano Distribution Centres, enabling seamless connectivity of businesses & Consumers.",Sweta Rau,"$5,660,000.00",
Bikayi,Hyderabad,E-commerce,Provides free whatsapp integrated E-Commerce Store,Mantis ventures,"$2,000,000.00",Seed round
Virtual Forest,Bangalore,Tech,Tracking seasonal change in virtual forest,Napino Auto and Electronics Ltd,$nan,
The Health company,Gurugram,AI health,Organic superfoods & free personal health coaching that actually work.,VCATS,"$350,000.00",
TrulyMadly Matchmakers,Gurugram,Dating app,One of the best dating Apps in India connecting singles across the country.,AngelList,"$110,000.00",Pre-series A
TrueFan,Mumbai,Media,Enables users to play quizzes around celebrities and winners get a personalised video message from stars.,Mayfield India,"$4,300,000.00",Seed round
Fanspole,Mumbai,Gaming,A free app that users can use to create contests and play,Better Capital,$nan,Pre-seed Round
Byju's,Bangalore,EdTech,Provides online learning classes,DST Global,"$122,000,000.00",
Avail Finance,Bangalore,Fintech,Instant online loan app,Alphawave,"$11,635,000.00",Series B
The Money Club,Delhi,AI,AI based chit fund cashier app,Venture Catalysts,$nan,
Virohan,Gurgaon,Healthcare/Edtech,Healthcare training company,Keiretsu Forum,"$2,800,000.00",Seed Round & Series A
OneCode,Gurugram,Social Commerce,Connects new-age digital first brands with relevant sellers,WaterBridge Ventures,$nan,Seed round
Verloop.io,,AI,Helps automate customer service using Artificial Intelligence,Alpha Wave incubation,"$5,000,000.00",
Otipy,,Agritech/Commerce,Connects consumers with farmers thorugh women resellers,Inflection Point Ventures,"$1,000,000.00",Pre Series A
Evage,Chandigarh,Mobility tech,Develop emissions-free electric commercial vehicles,Anand Shah,$nan,
LEAD School,Mumbai,EdTech,Offers an integrated system for schools by helping them digitize the entire curriculum,WestBridge Capital,"$28,000,000.00",Series C
Trell,Bangalore,Social e-commerce,Allows users to share their travel experiences,KTB Network,"$11,000,000.00",Series A
Captain Fresh,Bangalore,Food & Logistics,Sea food Supply chain,Ankur Capital,"$2,300,000.00",Pre Series A
Teachmint,Bangalore,EdTech,Empowers tutors with tools to deliver effective learning outcomes for students and parents,Better Capital,$nan,
Pixxel,Bangalore,SpaceTech,Indian Earth observation startup,Lightspeed India Partners,"$5,000,000.00",Seed round
Habbit Health,Delhi,Nutrition Tech,Applies modern science for healthier life through proprietary foods & digital ecosystem,3one4 Capital,$nan,Pre seed Round
SmarterBiz,Bangalore,Tech,An end-to-end CX platform enabled with the gig workforce,StartupXseed Ventures,"$1,065,000.00",Pre Series A
Able Jobs,Bangalore,HR,Provides end to end hiring support to companies,SAIF Partners,"$2,000,000.00",
Vieroots,Kochi,Healthtech,Personalised lifestyle management using epigenetic science,Suniel Shetty,$nan,
Stack Finance,Bangalore,Fintech,"It automates invesments, expenses, borrowing under a single platform",SOSV,$nan,Seed round
FPL Technologies,Pune,Fintech,OneScore app is built by FPL - Free credit scoring and monitoring,Matrix Partners India,"$10,000,000.00",Series A
Masai School,Bangalore,EdTech,It trains tech aspirants in full stack wed and android development,Unitus Ventures,"$2,500,000.00",Series A
Mitron,Bangalore,Media,Short Video and Social Platform,Nexus Venture Partners,"$5,000,000.00",Series A
Daalchini,,IoT,Physical and Digital vending machines startup,Artha Venture Fund,"$669,000.00",Pre Series A
Suno India,,Media,Multilingual podcast platform,Shobu Yarlagadda,$nan,Angel Round
LendingKart,Ahmedabad,Fintech,Provides working capital loans and business loans to MSMEs,Fullerton Financial Holdings,"$16,076,000.00",Series D
Text Mercato,Bangalore,,Cataloguing startup that serves ecommerce platforms,1Crowd,"$649,600.00",Series A
Eden Smart Homes,,IoT,Develops smart home automation systems,Inflection Point Ventures,$nan,
GrayQuest,Mumbai,EdTech,Enables parents to pay their annual education fees in up to 12 monthly installments,Foundation Holdings,"$1,000,000.00",Pre Series A
BigHaat,Bangalore,Agritech,Agri-inputs ecommerce player,Ankur Capital,"$2,000,000.00",Pre Series A
CityCash,Mumbai,Fintech,Focusses on creating a transit led micro-payments ecosystem,Orios Venture Partners,"$1,000,000.00",Seed round
HomeLane,Chennai,Interior design,Provides interior designing solutions,Evolvence India Fund (EIF),"$1,000,000.00",Series D
HungerBox,Bangalore,Foodtech,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",IIFL Income Opportunities Fund,"$6,700,000.00",Series C
DaveAI,Bangalore,AI,Sales augmentation platform with a vision to democratise AI for enterprises,Mumbai Angels Network,$nan,
Eduvanz,Mumbai,Fintech,Digital finance NBFC that provides affordable education loans,Sequoia India,"$5,000,000.00",Series A
ZipLoan,Delhi,Fintech,Provides loans to MSMEs,Stride Ventures,"$2,000,000.00",
DocSumo,Mumbai,AI,Platform helps to automate and analyse financial data,Better Capital,"$220,000.00",Seed round
CUSMAT,Warangal,AR/VR,It builds high immersion training systems for enterprises,Venture Catalysts,$nan,
Chingari,Bangalore,Media,Short video platform,AngelList India,"$1,300,000.00",Seed round
Bolo Indya,Gurugram,Media,User-generated content platform,Eagle10 Ventures,"$300,000.00",Pre series A1
Data Sutram,Kolkata,AI,Platform gathers intel from external data to provide location-based data intelligence.,Uday Sodhi,"$266,500.00",
Wobot Intelligence,Delhi,AI,AI backed video analytics platform,Sequoia Capital India,"$2,500,000.00",Pre Series A
DrinkPrime,Bangalore,Appliance,Subscription-based Water purifier startup,Sequoia Surge,"$2,879,000.00",Pre Series A
Infeedo,Gurugram,HR tech,An employee engagement HR analytics platform,Y Combinator,"$700,000.00",
Probus Smart Things,Delhi,IoT,Platform for monitoring distribution sub-station performance and operations,Unicorn India Ventures,$nan,Seed round
CrowdPouch,Bangalore,Tech,A reward-based fundraising and preselling platform,Elina Investments,$nan,Angel Round
Rebel Foods,Mumbai,Food tech,Cloud kitchen platform,Coatue Management,"$26,500,000.00",Series E2
Hevo,Bangalore,Tech,Data pipeline startup,Qualgro,"$8,000,000.00",Series A
BigSpoon Foods,Ahmedabad,Foodtech,Cloud kitchen startup,Urmin Family Office,"$2,000,000.00",Pre series A
Chingari,Bangalore,Media,Homegrown short video platform,LogX Ventures,"$1,000,000.00",Seed Round
ShareChat,Bangalore,Media,Indian social network platform,All About Inc,"$351,000.00",
DatStop,Delhi,Hospitality,It offers urban social space,Shabir Momin,$nan,
IPHM Services,Mumbai,Mental Health,It helps design programs and workshops for the psychological well-being of individuals,Indian Angel Fund,$nan,Seed Round
Wellcure,Gurugram,Healthtech,It caters to all health and wellness needs,Inflection Point Ventures,"$200,000.00",
VilCart,Bangalore,Ecommerce,"Retail industry in rural India through technology, supply chain, and logistics facilities.",N S Parthasarathy,$nan,Bridge Round
Firescore,Mumbai,Gaming,Game development studio,Crazy Labs,"$500,000.00",
BulBul,Gurgaon,Social commerce,A video and livestream led commerce platform that makes online shopping engaging,Info Edge,$nan,
Toppr,Mumbai,Edtech,It provides AI-based after school learning app for K12,Foundation Holdings,"$46,761,000.00",Series D
Pickright Technologies,Bangalore,Fintech,Marketplace for stock market investors and advisors,Sanjay Mehta,"$175,000.00",Seed Round
Muse Wearables,Chennai,Tech,It sells the world’s first payment-enabled hybrid smartwatches,Dr. Bhaskar Rao Bollineni,"$3,000,000.00",
SATYA Microcapital,Delhi,Fintech,Microfinance company that offers collateral-free credit to micro enterprises,BlueOrchard Finance Limited,$nan,
WYN Studio,Gurugram,Media,It creates video content and podcasts,India Angel Fund,$nan,Seed Round
Fourth Partner Energy,Bangalore,Solar Solution,Largest startup in the distributed solar sector,ResponsAbility Investments AG,"$15,000,000.00",
Entri,Kochi,Edtech,Local language learning startup,Good Capital,"$1,700,000.00",Pre series A
Snack Amor,Mumbai,Foodtech,Healthy snack startup,Dr Srinivas Chunduru,$nan,
MPowered,Gurugram,SaaS,Asset Management Solutions,Ashok Nichani,"$21,000,000.00",Pre series A
Leap Club,Gurugram,Social e-commerce,Community led professional network for women,Titan Capital,$nan,
Ather Energy,Bangalore,Automobile,Electric scooter manufacturer,Hero MotoCorp,"$11,241,000.00",Series C
Gigforce,Bangalore,HR tech,Provides staffing solutions for businesses,Unitus Venture,"$804,000.00",
Vegrow,Bangalore,Agritech,It is building an asset-light farm by partnering with small farms on a profit-sharing model,Matrix Partners India,"$2,500,000.00",Seed Round
Finn,Bangalore,Fintech,Neobanking startup that digitises all banking transactions,Unicorn India,$nan,Pre series A
Bijnis,,B2B marketplace,Provides a platform for manufacturers and retailers in digital transaction,Sequoia Capital India,"$10,000,000.00",Series A
iNurture,Bangalore,Edtech,"It provides a conducive and healthy teaching, learning environment",BlackSoil Capital,"$1,340,000.00",
StyleDotMe,Gurugram,Fashion Tech,"mirrAR, helps jewellers sell jewellery with no physical inventory",Survam Partners,"$467,000.00",Pre series A
Ripsey,Mumbai,Nutrition tech,It plans meals in consultation from fitness experts and nutritionists and prepares them in-house,Ah! Ventures,"$133,000.00",
ThriveFNC,Pune,Health & Wellness,Focusses on reversing chronic lifestyle disorders through functional nutrition.,Rajesh Ranavat,$nan,Seed Round
Vedantu,Bangalore,Edtech,Onine learning platform,Coatue,"$100,000,000.00",Series D
Magicpin,Gurugram,,"It is a local discovery, rewards, and commerce platform",Samsung Venture Investment Corporation,"$7,000,000.00",Series D
Procol,Delhi,Agritech,Commodity procurement platform,Sequoia Surge,"$3,823,000.00",
Yumlane,Mumbai,Cloud Kitchen,Online retailer that offers a range of on-the-go hot snacking and meals,Jetty Ventures,"$1,000,000.00",Pre series A
Crio,Bangalore,Edtech,A learning platform for developers,021 Capital,"$934,000.00",
Openapp,Bangalore,IoT,Security solutions startup,Unicorn India Ventures,"$500,000.00",
PumPumPum,Gurugram,IoT/Automobile,Offers leased car services,LetsVenture Syndicate,"$293,000.00",
uFony Services Pvt ltd,Pune,Edtech,"School Diary, a platform that brings education to smartphones",Chennai Angels,$nan,
Protinus Fashion Networking Pvt Ltd,Mumbai,Fashion,Owns and operates fashion commerce and retail management platform 6Degree,SucSEED Ventures,$nan,Pre series A
Uable,Bangalore,Edtech,Online life skills development platform for children,3one4 Capital,$nan,Seed Round
ParkSmart,Delhi,IoT,Parking spot reservation platform,Ah! Ventures,"$198,000.00",
Plum,Bangalore,Healthtech,Provides health benefits to corporates,Incubate Fund,"$927,000.00",Seed Round
IncNut Digital,Hyderabad,Ecommerce,Owns and Operates two women-centric digital media platforms -- Stylecraze.com and Momjunction.com,RPSG Ventures,"$4,000,000.00",Series A
GigIndia,Pune,Tech,Marketplace that provides on-demand work completion for companies through workforce of jobseekers,Incubate Fund India,"$971,000.00",Pre series A
Specsmaker,Chennai,Eye Wear,Online optical chain for eye wears,Eight Road Ventures,"$3,060,000.00",
Piggy Ride,Bangalore,SaaS,"Offers parents and kids, a platform to browse and book extracurricular interest-based activities",JAFCO Asia,"$1,862,000.00",Pre series A
Chai Waale,Chennai,Beverage,Tea Brand,Tharun Dhariwal,"$232,000.00",
NOTO,Mumbai,Food,A brand that makes healthy icecream,WEH Ventures,$nan,Pre seed round
Cuemath,Bangalore,Edtech,It helps students to learn math online,Trifecta Capital,"$2,888,000.00",Series B
Cars24,Gurgaon,Automobile,Online platform for selling used cars,Vivriti Capital,"$1,328,000.00",
JetSynthesys,Pune,Digital tech,Digital entertainment and technology company,Adar Poonawalla,"$40,000,000.00",
Earth Energy EV,Mumbai,Automobile,Electric vehicles startup,LR Joshi,$nan,Seed Round
Green Cure,Delhi,Health & Wellness,It sells herbal OTC products,Venture Catalysts,$nan,
Blue Sky Analytics,Gurugram,Data Intelligence,"It is building AI-powered infrastructure to analyse air quality, pollution etc",Beenext,"$1,200,000.00",Seed Round
Edhusk,Jaipur,Edtech,Provieds personalised learning to students by leveraging technology-driven models,Mumbai Angel Network,$nan,
Decentro,Bangalore,Fintech,Automated API-based platform that enables financial integrations.,Y Combinator,"$15,500,000.00",Series A
Zolostays,Bangalore,Co-living,It offers affordable housing apartments to young professionals and students,Investcorp,"$56,000,000.00",Series C
Frontier Markets,Jaipur,Ecommerce,Women entreprenuers sells products and services to rural India,ENGIE RAssembleurs dEnergies,"$2,250,000.00",Pre series A
Brainwired,Kerala,Agritech,India’s first livestock health monitoring company,Kritik Abiram,$nan,
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,Invest in Vision,"$16,753,000.00",Series E
Paper Boat,Gurugram,Food & Beverages,Ecommerce platform for beverages and snacks,Sofina Ventures,"$3,700,000.00",
Ken42,Bangalore,Edtech,A platform that caters to evolving needs of institutions,Turbostart,"$1,470,000.00",
Forbidden Foods,Delhi,Food,Packaged snacks company,Globevestor,"$1,000,000.00",Seed Round
Universal Sportsbiz,Bangalore,Fashion,Indian fashion industry with on-trend products,NB Ventures,"$530,000.00",
Gobbly,Gurugram,Retail Tech,A contactless retail store filled with fruits and veggies,Sauce vc,"$500,000.00",Seed Round
Aerostrovilos,Chennai,Automotive,Manufactures micro gas turbines for power-based application,Mumbai Angels Network,$nan,
Mitron,Bangalore,Media,Short Video and Social Platform,3One4 Capital,"$267,000.00",Seed Round
Bulk MRO,Mumbai,B2B,A full stack B2B platform for industrial supplies,Stride Ventures,"$3,344,000.00",
Inspektlabs,Delhi,AI,Focuses on building computer vision products for physical asset inspections,Better Capital,"$600,000.00",Pre series A
Big Bang Boom Solutions,Chennai,Defense tech,It developed integrated intellectual properties for defense,Mumbai Angels Network,"$1,000,000.00",Series A
Flinto,Chennai,Edtech,It is an educational subscription-box focussed at activity-based learning for the ages 2-12,Lightbox Ventures,"$7,200,000.00",Pre series B
Zetwerk,Bangalore,Marketplace,B2B marketplace that connects manufacturing companies for industrial equipements,Greenoaks,"$21,000,000.00",Series C
ChitMonks,Hyderabad,Fintech,Offers enterprise private platform for chit fund firms,Unicorn India Ventures,"$650,000.00",Pre series A
Walrus,Bangalore,Fintech,It provides banking solutions for teens and young adults,Better Capital,$nan,Pre-Seed
Arth Designbuild,Hyderabad,Construction tech,Construction technology and solutions provider,Startup-O,"$1,100,000.00",
goDutch,Mumbai,Fintech,Group Payments platform,Matrix India,"$1,700,000.00",Seed Round
Rusk Media,Delhi,Digital Media,It creates video content,InfoEdge Venture Fund,$nan,Seed Round
Bold Care,Mumbai,Health & Wellness,Digital platform that offers sexologist consultations for  men,Rajesh Ranavat,$nan,Pre-seed Round
Samosa Party,Bangalore,Food,Provides quality Indian Snacks,Inflection Point Ventures,$nan,
High Street Essentials,New Delhi,Ecommerce,The parent company of women's fashion brands FabAlley and Indya,SAIF Partners,"$2,743,000.00",Pre series C
Byju's,Bangalore,Edtech,Provides online learning classes,BOND,$nan,
Slice,Bangalore,Fintech,A financial platform for youngsters,Gunosy,"$6,082,000.00",Pre series B
Bombay Play,Bangalore,Gaming,It designs and creates online multiplayer games,Leo capital,"$1,500,000.00",Pre series A
Fullife,Mumbai,Healthtech,It sells sports nutrition supplements through a brand called Fast&Up,Amansa Capital,"$6,609,000.00",
Oziva,,Nutrition,Clean Label Active Nutrition Brand,Matrix Partners,"$5,000,000.00",Series A
Aye Finance,Gurugram,Fintech,A finance lender to SMEs,Capital G,"$27,700,000.00",Series E
Aether Biomedical,Delhi,Medtech,"Medical robotics startup, focussed on developing rehabilitation devices",Chiratae Ventures,$nan,Seed Investment
91springboard,Delhi,Coworking,It offers collaborative workspace with varied amenities,Pearl Brook Holdings Ltd,"$5,940,000.00",
Yulu,,Micro-mobiity,The electric and scooter rental startup,Rocketship,"$3,964,000.00",
Milkbasket,Gurugram,Logistics,Hyperlocal delivery service startup,Inflection Point Ventures,"$5,500,000.00",
MergerDomo,Noida,Marketplace,Global online corporate deal sourcing and consulting marketplace,Nadir Godrej,"$197,000.00",
GoMechanic,Delhi,Auto-tech,Find automobile repair and maintenance service providers,Pawan Munjal,$nan,Series B
Milk Mantra,Odisha,Food,Produces Dairy Products,US International Development Finance Corporation,"$10,000,000.00",
Myglamm,Mumbai,Beauty,On-demand beauty services provider,Tano India,"$4,327,000.00",
Drishti Technologies,Bangalore,AI,"AI-based video analytics, data, and insights bring benefits to manufacturers",Sozo Ventures,"$25,000,000.00",Series B
Instasolv,Noida,Edtech,It is a doubt-solving app for students from Class 6 to 12,Undisclosed,"$2,000,000.00",Pre series A
GoldenPi,Bangalore,Fintech,An online aggregator of bonds and debentures available in the secondary market,Rainmatter Capital,"$459,000.00",
Peppermint,,Robotics,Industrial robotics startup,Venture Catalysts,$nan,Seed Round
Sarva,Mumbai,Yoga & wellness,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,Shikhar Dhawan,$nan,
Jai Kisan,Mumbai,Fintech,A platform that caters the need of customers in rural areas,Arkam Ventures,"$3,937,000.00",Pre series A
Agro2o,New Delhi,Agritech,It develops products focused on making hydroponics-based farming,Mumbai Angels Network,$nan,
LetsTransport,Bangalore,Logitech,Offers techno logistics solutions,Stride Ventures,"$1,313,500.00",
GabbarDeals,Pune,Ecommerce,Online-to-Offline platforms for mobile phones & accessories,Venture Catalysts,$nan,
Crimson Healthcare,Delhi,Med Tech,It innovates cutting edge solutions for various problems in the healthcare system,Mumbai Angels Network,"$229,800.00",
Biomoneta,Bangalore,Life sciences,It develops germicidal technologies,Beyond Next Ventures,$nan,Seed Round
Edvizo,Bangalore,Edtech,"Online marketplace to search, compare and enrol in the best institutes for competitive exam preparation",Inflection Point Ventures,"$150,000.00",Seed Round
Servify,Mumbai,SaaS,Operates device management and support platform,Iron Pillar,"$11,370,000.00",Series C
Drum Food,Mumbai,Food,It runs yoghurt brand Epigamia,Danone Manifesto,"$5,305,000.00",
Innoviti,Bangalore,SaaS,Digital payments solutions company,Entrepreneurial Development Bank,$nan,Series C
Jiffy ai,,AI,Enterprise automation startup,Nexus Venture Partners,"$18,000,000.00",Series A
Postman,,Tech,API development platform startup,Insight Partners,"$150,000,000.00",Series C
F5,,Retail Aggregator,It provides opportunities for its partner vendors to upsell and cross-sell their products.,Venture Catalysts,$nan,
Waycool,Chennai,Agritech,Food development and distribution services,Induslnd Bank,"$5,500,000.00",Series C
Myelin Foundry,,Deep Tech AI,"It builds AI based algorithms on video, voice and sensor",Pratithi,$nan,
Ameliorate Biotech,Bangalore,Biotech,"Their products address the needs in Early Stage Diagnostics, Bio-Similars and Nutraceuticals.",PadUp,"$264,000.00",Angel Round
Hapramp,Gurugram,Blockchain,Startup working on technologies like blockchain and social media,Anand Mahindra,"$1,000,000.00",
MyKaam,Bangalore,HrTech,Online job searching and recruiting platform,Dr Apoorva Ranjan Sharma,$nan,
HealthPlix,Bangalore,Healthtech,It provides clinical software for doctors,JSW Ventures,"$6,000,000.00",Series B
YoloBus,Gurugram,Mobility/Transport,Intercity bus service startup,Nexus Venture Partners,"$3,300,000.00",Series A
